date,CPI,Mortgage_rate
1980-11-01,85.6,14.205
1980-12-01,86.4,14.79
1981-01-01,87.2,14.904
1981-02-01,88.0,15.1325
1981-03-01,88.6,15.4
1981-04-01,89.1,15.58
1981-05-01,89.7,16.402
1981-06-01,90.5,16.695
1981-07-01,91.5,16.832
1981-08-01,92.2,17.285
1981-09-01,93.1,18.16
1981-10-01,93.4,18.454
1981-11-01,93.8,17.825
1981-12-01,94.1,16.946
1982-01-01,94.4,17.485
1982-02-01,94.7,17.5975
1982-03-01,94.7,17.16
1982-04-01,95.0,16.892
1982-05-01,95.9,16.6775
1982-06-01,97.0,16.6975
1982-07-01,97.5,16.816
1982-08-01,97.7,16.27
1982-09-01,97.7,15.43
1982-10-01,98.1,14.608
1982-11-01,98.0,13.825
1982-12-01,97.7,13.624
1983-01-01,97.9,13.2475
1983-02-01,98.0,13.0425
1983-03-01,98.1,12.8
1983-04-01,98.8,12.782
1983-05-01,99.2,12.6325
1983-06-01,99.4,12.87
1983-07-01,99.8,13.422
1983-08-01,100.1,13.81
1983-09-01,100.4,13.726
1983-10-01,100.8,13.535
1983-11-01,101.1,13.435
1983-12-01,101.4,13.42
1984-01-01,102.1,13.3675
1984-02-01,102.6,13.2325
1984-03-01,102.9,13.386
1984-04-01,103.3,13.6525
1984-05-01,103.5,13.9425
1984-06-01,103.7,14.416
1984-07-01,104.1,14.6675
1984-08-01,104.4,14.47
1984-09-01,104.7,14.35
1984-10-01,105.1,14.13
1984-11-01,105.3,13.638
1984-12-01,105.5,13.18
1985-01-01,105.7,13.075
1985-02-01,106.3,12.92
1985-03-01,106.8,13.17
1985-04-01,107.0,13.195
1985-05-01,107.2,12.914
1985-06-01,107.5,12.215
1985-07-01,107.7,12.0325
1985-08-01,107.9,12.186
1985-09-01,108.1,12.1925
1985-10-01,108.5,12.135
1985-11-01,109.0,11.784
1985-12-01,109.5,11.26
1986-01-01,109.9,10.886
1986-02-01,109.7,10.71
1986-03-01,109.1,10.08
1986-04-01,108.7,9.9375
1986-05-01,109.0,10.144
1986-06-01,109.4,10.6825
1986-07-01,109.5,10.5075
1986-08-01,109.6,10.2
1986-09-01,110.0,10.0075
1986-10-01,110.2,9.974
1986-11-01,110.4,9.695
1986-12-01,110.8,9.31
1987-01-01,111.4,9.204
1987-02-01,111.8,9.0825
1987-03-01,112.2,9.035
1987-04-01,112.7,9.8325
1987-05-01,113.0,10.596
1987-06-01,113.5,10.5375
1987-07-01,113.8,10.278
1987-08-01,114.3,10.33
1987-09-01,114.7,10.8875
1987-10-01,115.0,11.26
1987-11-01,115.4,10.65
1987-12-01,115.6,10.64
1988-01-01,116.0,10.3825
1988-02-01,116.2,9.8925
1988-03-01,116.5,9.93
1988-04-01,117.2,10.202
1988-05-01,117.5,10.455
1988-06-01,118.0,10.46
1988-07-01,118.5,10.432
1988-08-01,119.0,10.5975
1988-09-01,119.5,10.48
1988-10-01,119.9,10.3025
1988-11-01,120.3,10.265
1988-12-01,120.7,10.612
