period_begin,migration
01/01/2010,3448
02/01/2010,4138
03/01/2010,4827
04/01/2010,5517
05/01/2010,6896
06/01/2010,8965
07/01/2010,8275
08/01/2010,8275
09/01/2010,6206
10/01/2010,5517
11/01/2010,4138
12/01/2010,2758
01/01/2011,2950
02/01/2011,3540
03/01/2011,4129
04/01/2011,4719
05/01/2011,5899
06/01/2011,7669
07/01/2011,7079
08/01/2011,7079
09/01/2011,5309
10/01/2011,4719
11/01/2011,3540
12/01/2011,2360
01/01/2012,2320
02/01/2012,3323
03/01/2012,4640
04/01/2012,4765
05/01/2012,6960
06/01/2012,9217
07/01/2012,8151
08/01/2012,8151
09/01/2012,5518
10/01/2012,4828
11/01/2012,3323
12/01/2012,1505
01/01/2013,3362
02/01/2013,2693
03/01/2013,3475
04/01/2013,3449
05/01/2013,5630
06/01/2013,7766
07/01/2013,8349
08/01/2013,9702
09/01/2013,6320
10/01/2013,5650
11/01/2013,5173
12/01/2013,4755
01/01/2014,3835
02/01/2014,3606
03/01/2014,4464
04/01/2014,4642
05/01/2014,6633
06/01/2014,8604
07/01/2014,8108
08/01/2014,8222
09/01/2014,5526
10/01/2014,4375
11/01/2014,3555
12/01/2014,2035
01/01/2015,2419
02/01/2015,3277
03/01/2015,4274
04/01/2015,4523
05/01/2015,6555
06/01/2015,9157
07/01/2015,9144
08/01/2015,9085
09/01/2015,6410
10/01/2015,5604
11/01/2015,3500
12/01/2015,1527
01/01/2016,2973
02/01/2016,3631
03/01/2016,5016
04/01/2016,5596
05/01/2016,7100
06/01/2016,9730
07/01/2016,8814
08/01/2016,7967
09/01/2016,6002
10/01/2016,5652
11/01/2016,4645
12/01/2016,2316
01/01/2017,3525
02/01/2017,3424
03/01/2017,4315
04/01/2017,4536
05/01/2017,6223
06/01/2017,8288
07/01/2017,7720
08/01/2017,7094
09/01/2017,5420
10/01/2017,5300
11/01/2017,4972
12/01/2017,2356
01/01/2018,3007
02/01/2018,5514
03/01/2018,7798
04/01/2018,7255
05/01/2018,9039
06/01/2018,11296
07/01/2018,10098
08/01/2018,10417
09/01/2018,7505
10/01/2018,6178
11/01/2018,5247
12/01/2018,2809
01/01/2019,6168
02/01/2019,6250
03/01/2019,8059
04/01/2019,8224
05/01/2019,9375
06/01/2019,8224
07/01/2019,7977
08/01/2019,7730
09/01/2019,5756
10/01/2019,5592
11/01/2019,4441
12/01/2019,4358
01/01/2020,4745
02/01/2020,5693
03/01/2020,6642
04/01/2020,7591
05/01/2020,9489
06/01/2020,12336
07/01/2020,11387
08/01/2020,11387
09/01/2020,8540
10/01/2020,7591
11/01/2020,5693
12/01/2020,3796
01/01/2021,5377
02/01/2021,6453
03/01/2021,7528
04/01/2021,8604
05/01/2021,10755
06/01/2021,13981
07/01/2021,12906
08/01/2021,12906
09/01/2021,9679
10/01/2021,8604
11/01/2021,6453
12/01/2021,4302
01/01/2022,5122
02/01/2022,6147
03/01/2022,7171
04/01/2022,8195
05/01/2022,10244
06/01/2022,13317
07/01/2022,12293
08/01/2022,12293
09/01/2022,9220
10/01/2022,8195
11/01/2022,6147
12/01/2022,4098
01/01/2023,4699
02/01/2023,5638
03/01/2023,6578
04/01/2023,7518
05/01/2023,9397
06/01/2023,12216
07/01/2023,11276
08/01/2023,11276
09/01/2023,8457
10/01/2023,7518
11/01/2023,5638
12/01/2023,3759
